Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-50.99,-96.991,-573.371,-,-
Acquisitions net,-,-203.335,-89.89,-,-
Sales/Maturities of investments,-,-,-,52.339,-
Other investing activites,-,-203.335,-90,-,-
Net cash used for investing activites,-254.325,-300.326,-663.261,52.339,-
Common stock issued,-,1478,5200,11.001,-
Common stock repurchased,-,-4,-278.242,-,-
Net cash used privided by (used for) financing activities,-,1474,4922,211.001,-
Net change in cash,-877.005,-132.341,2799,22.731,-15.833
Cash at beginning of period,1997,2823,23.977,1.246,17.079
Cash at end of period,1120,2690,2823,23.977,1.246
Capital Expenditure,-50.99,-96.991,-573.371,-,-
Free Cash Flow,-2716,-1403,-2033,-240.609,-15.833
