Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-3294,-,-,-22.72
Purchases of investments,-,-,-113.739,-,-
Other investing activites,-,-,-,269.163,-
Net cash used for investing activites,-,-3294,-113.739,269.163,-22.72
Common stock issued,8600,7907,750,889.639,500
Common stock repurchased,-686.927,-587.947,-11.012,-40.837,-17.425
Net cash used privided by (used for) financing activities,7913,7319,738.988,848.802,482.575
Net change in cash,1557,1197,-787.513,130.006,-1322
Cash at beginning of period,2293,791.267,1569,1440,2765
Cash at end of period,3850,1983,791.267,1569,1440
Capital Expenditure,-,-3294,-,-,-22.72
Free Cash Flow,-7214,-6122,-1413,-987.959,-1804
