Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-1.954,-1.954,-39.0111
Other investing activites,-,-,21.8773
Net cash used for investing activites,-1.954,-1.954,-17.1337
Debt repayment,-79.5575,-79.5575,-83.7659
Common stock issued,2931,2931,4805
Other financing activites,140.3269,140.3269,91.2936
Net cash used privided by (used for) financing activities,3121,3121,6603
Net change in cash,-426.1447,-426.1447,1148
Cash at beginning of period,834.6874,834.6874,76.4848
Cash at end of period,296.543,296.543,828.5378
Capital Expenditure,-1.954,-1.954,-39.0111
Free Cash Flow,-3547,-3547,-5477
