Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-16649,-16649,-13769,-13569,-14217
Acquisitions net,-,-,-816,-,-
Net cash used for investing activites,-16487,-16487,-14528,-13526,-14168
Debt repayment,-,-,-,-150,-244
Dividends Paid,-9272,-9272,-9120,-8664,-8101
Net cash used privided by (used for) financing activities,-4272,-4272,-2120,-3814,-8345
Net change in cash,268,268,803,-220,-9460
Cash at beginning of period,6683,6683,5880,6100,15560
Cash at end of period,6951,6951,6683,5880,6100
Capital Expenditure,-16649,-16649,-13769,-13569,-14217
Free Cash Flow,4378,4378,3682,3551,-1164
