Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-226.246,-35.486,-31.733,-,-91.415
Net cash used for investing activites,-226.246,-35.486,-31.733,-,-91.415
Common stock issued,-,-,4784,676.5,735.591
Common stock repurchased,-,-,-552.779,-47.32,-67.308
Net cash used privided by (used for) financing activities,-,-,4231,629.18,668.283
Net change in cash,-1138,-741.398,3797,170.082,187.694
Cash at beginning of period,4162,4631,833.674,663.592,475.898
Cash at end of period,3024,3890,4631,833.674,663.592
Capital Expenditure,-226.246,-35.486,-31.733,-,-91.415
Free Cash Flow,-1138,-741.398,-433.67,-459.098,-480.589
