Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-1.655,-7.067,-2.928,-3.759
Net cash used for investing activites,-,-1.655,-7.067,-2.928,-3.759
Debt repayment,-,-,-,-,-50
Common stock issued,-,-,-,-,2230
Common stock repurchased,-,-,-,-0.001,-
Net cash used privided by (used for) financing activities,-,299.982,-,-0.001,2330
Net change in cash,4.535,-198.594,-411.039,-838.966,1815
Cash at beginning of period,289.962,646.881,1058,1897,82.342
Cash at end of period,294.497,448.287,646.881,1058,1897
Capital Expenditure,-,-1.655,-7.067,-2.928,-3.759
Free Cash Flow,-281.569,-498.576,-411.039,-838.965,-514.962
