Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Other investing activites,-,-,-,100.673,1
Net cash used for investing activites,-,-,-,100.673,1
Debt repayment,-,-,-,-5.246,-20.982
Common stock issued,-,-,6297,-,4657
Common stock repurchased,-31.095,-33.842,-380.807,-264,-2.699
Net cash used privided by (used for) financing activities,1415,-33.842,5916,-269.246,4633
Net change in cash,-526.248,-2708,2047,-2635,4328
Cash at beginning of period,2079,3710,1697,4349,21.288
Cash at end of period,1552,988.714,3710,1697,4349
Free Cash Flow,-1941,-2674,-3869,-2466,-306.065
