Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-112.7605,-112.7605,-2261,-15359,-22471
Purchases of investments,-,-,-,-,-5543
Net cash used for investing activites,-101.3417,-101.3417,-2261,-15324,-22471
Common stock issued,-,-,-,14533,59818
Common stock repurchased,-,-,-,-,-22.1117
Net cash used privided by (used for) financing activities,-,-,-,14533,59795
Net change in cash,-3907,-3907,-8148,-17645,27551
Cash at beginning of period,4675,4675,13681,30701,5687
Cash at end of period,812.161,812.161,4640,12379,33094
Capital Expenditure,-112.7605,-112.7605,-2261,-15359,-22471
Free Cash Flow,-3918,-3918,-8148,-32213,-32244
