Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-36.131,-,-,-
Acquisitions net,-,-,-,-,31.872
Net cash used for investing activites,-125.377,-36.131,-,-,31.872
Common stock issued,-,7500,-,265.688,13117
Common stock repurchased,-,-494.074,-6.353,-,-1084
Net cash used privided by (used for) financing activities,-24.106,7006,-6.353,265.688,12032
Net change in cash,-2904,2118,-5157,-5180,9638
Cash at beginning of period,6808,3398,8555,13735,4097
Cash at end of period,3903,5516,3398,8555,13735
Capital Expenditure,-,-36.131,-,-,-
Free Cash Flow,-2791,-4887,-5151,-5446,-2426
