Breakdown,ttm,6/30/2019,6/30/2018
Net Income,0,-1630,-1153
Other working capital,0,-1129,-952.219
Net cash provided by operating activites,0,-,-
Investments in property plant and equipment,-729.154,-693.299,-730.679
Acquisitions net,0,-396.893,-
Purchases of investments,0,-,-
Sales/Maturities of investments,0,-,-
Net cash used for investing activites,0,-1090,-730.679
Debt repayment,0,-,-399.042
Common stock issued,0,-,6196
Common stock repurchased,-,-,-505.451
Dividends Paid,0,-,-
Net cash used privided by (used for) financing activities,-,-,5291
Net change in cash,-75.73,-1526,4339
Cash at beginning of period,0,4593,254.231
Cash at end of period,0,3068,4593
Operating Cash Flow,0,-,-
Capital Expenditure,-729.154,-693.299,-730.679
Free Cash Flow,0,-1129,-952.219
