Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-,-502.791,-303.833
Other investing activites,-,333.088,-
Net cash used for investing activites,-275.238,-169.703,-303.833
Debt repayment,-,-9.17,-
Common stock issued,646.399,696.124,2031
Common stock repurchased,-12.9,-15.608,-557.673
Net cash used privided by (used for) financing activities,642.669,717.194,1473
Net change in cash,-470.258,-258.064,-354.019
Cash at beginning of period,741.491,386.91,740.929
Cash at end of period,271.233,128.846,386.91
Capital Expenditure,-,-502.791,-303.833
Free Cash Flow,-1380,-1308,-1827
