Breakdown,ttm,6/30/2019
Net Income,-6809,-5559
Depreciation & amortization,851,1125
Stock based compensation,1096,532
Change in working capital,361,867
Other working capital,-8331,-17043
Net cash provided by operating activites,-5720,-3994
Investments in property plant and equipment,-2611,-13049
Net cash used for investing activites,-2611,-13049
Net change in cash,7697,9206
Cash at beginning of period,13095,82
Cash at end of period,20792,9288
Operating Cash Flow,-5720,-3994
Capital Expenditure,-2611,-13049
Free Cash Flow,-8331,-17043
