Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-11.944,-546.233
Acquisitions net,-,-,-,-,47.567
Purchases of investments,-,-,-2880,-,-
Other investing activites,-,-,-,-89.659,-
Net cash used for investing activites,-,-,-2879,-101.603,-498.666
Common stock issued,-,-,3585,1690,10062
Common stock repurchased,-,-,-230.9,-109.971,-1513
Other financing activites,-,-,-,-,0.6
Net cash used privided by (used for) financing activities,-,-,3354,1580,8548
Net change in cash,-576.382,-1180,-1062,-1771,4258
Cash at beginning of period,679.582,1462,2524,4294,36.744
Cash at end of period,103.2,282.179,1462,2524,4294
Capital Expenditure,-,-,-,-11.944,-546.233
Free Cash Flow,-775.165,-1180,-1536,-3260,-4338
