Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3886,-2970,-2934,-1465,-1260
Acquisitions net,-,-3000,-,-,-320
Purchases of investments,-,-,733,-,-6
Sales/Maturities of investments,-,-,-,-,4467
Net cash used for investing activites,-8886,-5970,-2201,-1465,2964
Common stock issued,842,1577,251,608,450
Common stock repurchased,-144,-2056,-2292,-4,-5
Dividends Paid,-4192,-2721,-664,-,-
Net cash used privided by (used for) financing activities,-4347,-3200,-2705,604,445
Net change in cash,819,2885,2850,6027,1305
Cash at beginning of period,23235,22696,19812,13761,12423
Cash at end of period,24054,25530,22696,19812,13761
Capital Expenditure,-3886,-2970,-2934,-1465,-1260
Free Cash Flow,10166,9085,4822,5423,-3364
