Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-529,-529,-1046,-686,-25109
Acquisitions net,253,253,-57,-196,-5785
Other investing activites,1275,1275,-215,-1623,1384
Net cash used for investing activites,999,999,-1318,-2505,-28260
Debt repayment,-7023,-7023,-,-,-
Common stock repurchased,-,-,-1,-,-
Dividends Paid,-3394,-3394,-3386,-3375,-3905
Other financing activites,-1925,-1925,-,-1700,-
Net cash used privided by (used for) financing activities,-12342,-12342,-9431,-6067,-2042
Net change in cash,-1037,-1037,131,1079,-604
Cash at beginning of period,2145,2145,1958,924,1641
Cash at end of period,1124,1124,2145,1958,924
Capital Expenditure,-529,-529,-1046,-686,-25109
Free Cash Flow,9777,9777,9834,8965,4589
