Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3441,-7385,-4270,-3589,-3256
Net cash used for investing activites,-3441,-7385,-4270,-3589,-3256
Common stock issued,-,9044,2346,2000,2600
Common stock repurchased,-,-582,-148,-141,-
Other financing activites,-,-,-,-,-185
Net cash used privided by (used for) financing activities,-,8462,2198,1859,2415
Net change in cash,-209,-690,-3539,-1194,5014
Cash at beginning of period,2314,3969,7508,8702,3688
Cash at end of period,2105,3279,3969,7508,8702
Capital Expenditure,-3441,-7385,-4270,-3589,-3256
Free Cash Flow,-5204,-9152,-5737,-3053,2599
