Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3700,-4665,-2534,-1773,-931.935
Acquisitions net,-,-,-,-,46.876
Other investing activites,-,-,-,-20,-
Net cash used for investing activites,-3700,-4665,-2534,-1793,-885.059
Common stock issued,-,-,10791,-186.29,1136
Common stock repurchased,-,-,-802.285,2921,-138.429
Net cash used privided by (used for) financing activities,-,-,9988,2734,997.273
Net change in cash,-3250,-5311,6959,367.725,-212.848
Cash at beginning of period,5179,8189,1230,862.488,1075
Cash at end of period,1929,2878,8189,1230,862.488
Capital Expenditure,-3700,-4665,-2534,-1773,-931.935
Free Cash Flow,-4428,-5311,-3030,-2347,-1257
