Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2635,-2635,-3960,-5045,-7014
Net cash used for investing activites,-2635,-2635,-3960,-5045,-7014
Debt repayment,-,-,-1045,-,-
Common stock issued,-,-,4740,-,3805
Common stock repurchased,-,-,-207.028,-,-
Net cash used privided by (used for) financing activities,500,500,4489,-,3805
Net change in cash,-1555,-1555,1554,-3310,-1342
Cash at beginning of period,3201,3201,1647,4957,6299
Cash at end of period,1647,1647,3201,1647,4957
Capital Expenditure,-2635,-2635,-3960,-5045,-7014
Free Cash Flow,-2055,-2055,-2935,-3310,-5148
