Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-19088,-28918,-15677,-22751,-23894
Sales/Maturities of investments,13970,19951,18617,13894,2644
Net cash used for investing activites,-5118,-8967,2940,-8857,-21250
Common stock issued,-,28139,5277,-,36828
Common stock repurchased,-3249,-3994,-964.662,3.735,-339.019
Dividends Paid,-2380,-1604,-366.1,-,-
Net cash used privided by (used for) financing activities,28800,22541,3946,3.735,36488
Net change in cash,20144,10953,5046,-8894,15416
Cash at beginning of period,3696,11572,6522,15416,-
Cash at end of period,23840,22525,11572,6522,15416
Free Cash Flow,-3537,-2621,-1841,-40.697,177.221
