Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-1866,-1866,-1337
Purchases of investments,-,-,-266.3644
Other investing activites,25.6923,25.6923,-
Net cash used for investing activites,-1840,-1840,-1594
Debt repayment,-,-,-7192
Common stock issued,-,-,8583
Other financing activites,-1597,-1597,-
Net cash used privided by (used for) financing activities,-1597,-1597,7984
Net change in cash,-5955,-5955,6413
Cash at beginning of period,8924,8924,2444
Cash at end of period,2960,2960,8858
Capital Expenditure,-1866,-1866,-1337
Free Cash Flow,-4383,-4383,-1315
