Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-122.083,-859.276,-2097,-1309,-928.694
Other investing activites,-4.479,-15.531,10,-20,-
Net cash used for investing activites,-126.562,-874.807,-2087,-1329,-928.694
Common stock issued,300,570,2556,1117,785.029
Common stock repurchased,-25.938,-50.338,-82.469,-25.24,-67.102
Net cash used privided by (used for) financing activities,274.062,519.662,2474,1092,717.927
Net change in cash,-408.647,-724.351,272.739,-553.116,-599.848
Cash at beginning of period,875.318,1171,898.701,1452,2050
Cash at end of period,466.671,446.586,1171,898.701,1452
Capital Expenditure,-122.083,-859.276,-2097,-1309,-928.694
Free Cash Flow,-678.23,-1228,-2211,-1625,-1318
