Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-576,-1868,-3809,-8191,-18057
Acquisitions net,-,-982,-425,-2074,-10354
Other investing activites,-,119,-11070,-3,-
Net cash used for investing activites,-1349,-1767,-33743,-11769,-28243
Debt repayment,-18631,-16410,-4681,-3640,-50112
Common stock repurchased,-,-,-,-14,-85
Dividends Paid,-,-,-,-,-17060
Other financing activites,-4703,139,8475,-5697,-
Net cash used privided by (used for) financing activities,-3090,-4666,66648,5649,125530
Net change in cash,3224,-6145,-15337,-45207,-6957
Cash at beginning of period,16228,18778,33303,82494,96985
Cash at end of period,19452,12633,18778,33303,82494
Capital Expenditure,-576,-1868,-3809,-8191,-18057
Free Cash Flow,7087,-1580,-52051,-47278,-122301
