Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-315.303,-302.886,-275.318
Net cash used for investing activites,-,-,-315.303,-258.038,-275.318
Common stock issued,-,417.5,3918,500.3,1523
Common stock repurchased,-,-51.301,-418.254,-30.538,-94.763
Net cash used privided by (used for) financing activities,-,366.199,3500,469.762,1428
Net change in cash,-114.932,-556.836,1625,-346.318,254.379
Cash at beginning of period,1160,1772,147.039,488.249,276.922
Cash at end of period,1045,1231,1772,147.039,488.249
Capital Expenditure,-,-,-315.303,-302.886,-275.318
Free Cash Flow,-791.184,-923.035,-1875,-860.928,-1174
