Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-162846,-162846,-33,-706,-
Acquisitions net,-1400,-1400,-,-,-
Purchases of investments,-9111,-9111,-9757,-,-
Sales/Maturities of investments,-,-,-,-,210708
Other investing activites,42774,42774,95465,81790,60943
Net cash used for investing activites,-130583,-130583,85675,81084,271651
Debt repayment,-,-,-,-,-220000
Common stock issued,35820,35820,-,-,-
Common stock repurchased,-170,-170,-,-,-1733
Dividends Paid,-260712,-260712,-262814,-250199,-222867
Other financing activites,-693,-693,-,-,-
Net cash used privided by (used for) financing activities,-185955,-185955,-263318,-250534,-429600
Net change in cash,-102944,-102944,17055,16304,82701
Cash at beginning of period,134344,134344,117289,100985,18284
Cash at end of period,31400,31400,134344,117289,100985
Capital Expenditure,-162846,-162846,-33,-706,-
Free Cash Flow,50748,50748,194665,185048,240650
