Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-391809,-657,-23801
Acquisitions net,-,-215789,0,0
Other investing activites,-29094,100,-91846,-56190
Net cash used for investing activites,-205138,-391709,-92503,-79991
Debt repayment,-200853,-210194,-28755,-250
Common stock issued,0,253517,0,67499
Dividends Paid,-,0,-,-
Other financing activites,-26211,-46056,-12381,-15473
Net cash used privided by (used for) financing activities,55751,312267,6063,51776
Net change in cash,-690,-4157,-11664,14445
Cash at beginning of period,2662,5761,17463,3468
Cash at end of period,1972,1581,5761,17463
Capital Expenditure,-,-391809,-657,-23801
Free Cash Flow,-243112,-316524,74119,18859
