Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-22183,-15761,-15192,-8028,-13176
Acquisitions net,-,-860,-409,-308,-
Purchases of investments,-,-,-,68,-8
Sales/Maturities of investments,-,-,-,-,287
Other investing activites,-,107,200,1958,-
Net cash used for investing activites,-22621,-16514,-14992,-6309,-12897
Debt repayment,-,-5265,-3199,-4222,-6129
Common stock issued,48152,33811,9100,4502,6700
Common stock repurchased,-2059,-1723,-475,-352,-384
Other financing activites,-57,10,43,70,110
Net cash used privided by (used for) financing activities,41021,26833,10732,2889,3394
Net change in cash,15711,8386,-1915,-2267,-4543
Cash at beginning of period,11518,2973,4863,7214,11694
Cash at end of period,27229,11351,2973,4863,7214
Capital Expenditure,-22183,-15761,-15192,-8028,-13176
Free Cash Flow,-24872,-17694,-12847,-6875,-8216
