Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-89800,-89800,-107100,-102100,-79900
Acquisitions net,-,-,-133800,-,-
Purchases of investments,-,-,-300,-,-
Other investing activites,-700,-700,-,-,-
Net cash used for investing activites,-90500,-90500,-241200,-101200,-79900
Debt repayment,-986000,-986000,-955500,-955000,-892000
Dividends Paid,-96700,-96700,-91700,-84800,-81900
Other financing activites,-3300,-3300,-2600,-800,-1600
Net cash used privided by (used for) financing activities,-158400,-158400,-71800,-129000,-77000
Net change in cash,-8000,-8000,-4600,4300,2300
Cash at beginning of period,15200,15200,19900,15600,13100
Cash at end of period,7500,7500,15200,19900,15600
Capital Expenditure,-89800,-89800,-107100,-102100,-79900
Free Cash Flow,151100,151100,201300,132400,79300
