Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-37.006,-27.017,-86.934,-21.673,-
Net cash used for investing activites,-37.006,-27.017,-86.934,-21.673,-
Common stock issued,-,5335,6500,2850,3105
Common stock repurchased,-,-131.591,-401.471,-193.221,-53.068
Net cash used privided by (used for) financing activities,-,5203,6099,2657,3052
Net change in cash,617.436,233.775,1693,-542.712,1728
Cash at beginning of period,1138,3945,2251,2794,1066
Cash at end of period,1755,4178,3945,2251,2794
Capital Expenditure,-37.006,-27.017,-86.934,-21.673,-
Free Cash Flow,-4584,-4970,-4405,-3199,-1324
