Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2493,-2493,-49.461,-284.929,-829
Purchases of investments,-,-,-,-,-10
Net cash used for investing activites,-2493,-2493,-49.461,-284.929,-839
Debt repayment,-1440,-1440,-375.917,-144.531,-148
Common stock issued,-,-,-,1728,88
Common stock repurchased,-111.527,-111.527,-12.103,-,-
Other financing activites,-369.079,-369.079,-,-,-
Net cash used privided by (used for) financing activities,939.849,939.849,-4.814,1583,-60
Net change in cash,-237.12,-237.12,114.615,-534.971,-1239
Cash at beginning of period,786.398,786.398,666.733,1197,2436
Cash at end of period,547.222,547.222,786.398,666.733,1197
Capital Expenditure,-2493,-2493,-49.461,-284.929,-829
Free Cash Flow,-1177,-1177,119.429,-2118,-1169
