Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,185410,17608,248365,699412
Change in working capital,-1684,1957,-4754,-257
Other working capital,40412,33495,23611,17867
Net cash provided by operating activites,40412,33495,23611,17867
Purchases of investments,-434814,-262622,-381286,-556380
Sales/Maturities of investments,597886,458308,398826,556971
Net cash used for investing activites,163072,195686,17540,591
Net change in cash,59074,5370,2578,-12094
Cash at beginning of period,41213,67843,65265,77359
Cash at end of period,100287,73213,67843,65265
Operating Cash Flow,40412,33495,23611,17867
Free Cash Flow,40412,33495,23611,17867
