Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,6/30/2016
Investments in property plant and equipment,-5,-5,-16,-8,-7032
Purchases of investments,-10435,-10435,-30276,-9,-9430
Sales/Maturities of investments,3500,3500,5250,2350,42961
Other investing activites,-2969,-2969,-8486,-,15089
Net cash used for investing activites,-9909,-9909,-33528,2333,43203
Debt repayment,-4000,-4000,-,-,-45080
Common stock issued,-,-,-,-,21652
Common stock repurchased,-,-,-,-,-1129
Other financing activites,-,-,-,-,2763
Net cash used privided by (used for) financing activities,10000,10000,13000,-,-21794
Net change in cash,-2434,-2434,-19730,-23345,17845
Cash at beginning of period,4324,4324,24054,47399,4470
Cash at end of period,1890,1890,4324,24054,22315
Capital Expenditure,-5,-5,-16,-8,-7032
Free Cash Flow,-2530,-2530,782,-25686,-10596
