Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,149000,149000,-10000,85000,-32000
Depreciation & amortization,1111000,1111000,830000,879000,932000
Stock based compensation,30000,30000,22000,24000,14000
Change in working capital,-172000,-172000,-66000,-61000,12000
Accounts receivable,-,-,-128000,6000,102000
Inventory,11000,11000,2000,16000,19000
Other working capital,-106000,-106000,12000,37000,16000
Other non-cash items,318000,318000,421000,396000,351000
Net cash provided by operating activites,801000,801000,792000,820000,878000
Investments in property plant and equipment,-907000,-907000,-780000,-783000,-862000
Acquisitions net,-1014000,-1014000,-953000,-22000,0
Purchases of investments,-,-,-63000,-,-
Other investing activites,22000,22000,24000,30000,8000
Net cash used for investing activites,-1502000,-1502000,-1199000,-367000,-552000
Debt repayment,-1264000,-1264000,-546000,-1195000,-821000
Dividends Paid,-268000,-268000,-266000,-265000,-265000
Other financing activites,-13000,-13000,-2000,-,-68000
Net cash used privided by (used for) financing activities,1355000,1355000,341000,-464000,-441000
Net change in cash,645000,645000,-98000,-8000,-123000
Cash at beginning of period,528000,528000,619000,646000,769000
Cash at end of period,1164000,1164000,528000,619000,646000
Operating Cash Flow,801000,801000,792000,820000,878000
Capital Expenditure,-907000,-907000,-780000,-783000,-862000
Free Cash Flow,-106000,-106000,12000,37000,16000
