Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-840.3132,-2173,-1441,-656.2276
Acquisitions net,-,-253.6264,-,-0.4358
Net cash used for investing activites,-642.9213,-2417,-1427,-656.3761
Common stock issued,-,1492,3728,1681
Common stock repurchased,-,-107.0594,-275.6751,-10.333
Net cash used privided by (used for) financing activities,1644,1385,3866,1753
Net change in cash,302.7691,-1963,1866,415.3167
Cash at beginning of period,348.0158,2675,583.6947,146.4153
Cash at end of period,650.7849,652.18,2474,582.2984
Capital Expenditure,-840.3132,-2173,-1441,-656.2276
Free Cash Flow,-1539,-3104,-2013,-1338
