Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-132.444,-132.444,-212.123,-,-32.738
Acquisitions net,-,-,-197.037,-,-
Purchases of investments,-,-,-,-,-525.739
Other investing activites,-16.348,-16.348,-272.204,-,-0.001
Net cash used for investing activites,-114.443,-114.443,-619.817,10,-558.477
Debt repayment,-408.036,-408.036,-699.832,-178.414,-1357
Common stock issued,-,-,3699,960,-
Common stock repurchased,-,-,-76.231,-201.588,-
Other financing activites,-,-,-,-0.001,-0.001
Net cash used privided by (used for) financing activities,1197,1197,3368,615.181,1500
Net change in cash,-251.828,-251.828,157.467,-1434,-2362
Cash at beginning of period,259.17,259.17,146.203,1594,3950
Cash at end of period,12.724,12.724,259.17,146.203,1594
Capital Expenditure,-132.444,-132.444,-212.123,-,-32.738
Free Cash Flow,-1466,-1466,-2803,-2059,-3336
