Breakdown,ttm,2/29/2020,2/28/2019,2/28/2018,2/28/2017
Net Income,971000,971000,1322000,1206000,-40000
Depreciation & amortization,2157000,2157000,1375000,1295000,1304000
Stock based compensation,87000,87000,77000,113000,15000
Change in working capital,-3531000,-3531000,-696000,592000,533000
Inventory,179000,179000,9000,76000,140000
Other working capital,-1166000,-1166000,674000,1145000,615000
Other non-cash items,-,-,-,-,98000
Net cash provided by operating activites,38000,38000,1966000,2782000,1989000
Investments in property plant and equipment,-1204000,-1204000,-1292000,-1637000,-1374000
Acquisitions net,-9000,-9000,-726000,-48000,-25000
Purchases of investments,-,-,-,-,0
Sales/Maturities of investments,-,-,-,-,877000
Other investing activites,-,-,-,-,15000
Net cash used for investing activites,2408000,2408000,-1143000,666000,279000
Net change in cash,534000,534000,-1158000,212000,881000
Cash at beginning of period,2916000,2916000,4059000,3832000,3082000
Cash at end of period,3408000,3408000,2916000,4059000,3821000
Operating Cash Flow,38000,38000,1966000,2782000,1989000
Capital Expenditure,-1204000,-1204000,-1292000,-1637000,-1374000
Free Cash Flow,-1166000,-1166000,674000,1145000,615000
