Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-24.05,-24.05,-1729
Net cash used for investing activites,-24.05,-24.05,-1729
Common stock issued,658,658,5398
Common stock repurchased,-415.197,-415.197,-413.337
Net cash used privided by (used for) financing activities,276.133,276.133,5684
Net change in cash,-3767,-3767,2349
Cash at beginning of period,4482,4482,2026
Cash at end of period,714.43,714.43,4482
Capital Expenditure,-24.05,-24.05,-1729
Free Cash Flow,-4043,-4043,-3335
