Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1984,-1984,-2091,-4900,-3734
Net cash used for investing activites,-1984,-1984,-2002,-4900,-3734
Debt repayment,-7319,-7319,-10,-1585,-205
Common stock issued,8642,8642,-,12000,-
Common stock repurchased,-75,-75,-,-802,-
Net cash used privided by (used for) financing activities,10548,10548,3990,12430,3350
Net change in cash,6065,6065,-2435,1633,-1564
Cash at beginning of period,-17,-17,2698,1037,2601
Cash at end of period,6300,6300,252,2698,1037
Capital Expenditure,-1984,-1984,-2091,-4900,-3734
Free Cash Flow,-4483,-4483,-6514,-10797,-4914
