Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-0.403,-139.042,-1462
Purchases of investments,10.918,-335.527,-1901,-14.153,-63.352
Sales/Maturities of investments,-,-,-,301.243,646.605
Other investing activites,-,-335.527,-,-,-
Net cash used for investing activites,10.918,-335.527,-1901,148.048,-878.358
Debt repayment,-319.031,-39.789,-47.409,-48.376,-
Common stock issued,-,382.51,-,-,-
Net cash used privided by (used for) financing activities,-319.031,655.921,1645,-48.376,945
Net change in cash,-343.971,-84.902,-743.34,-257.649,-548.171
Cash at beginning of period,518.236,374.513,1118,1376,1924
Cash at end of period,174.265,289.611,374.513,1118,1376
Capital Expenditure,-,-,-0.403,-139.042,-1462
Free Cash Flow,-35.858,-405.296,-487.089,-496.363,-2076
