Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-,-233,-1081,-1025
Purchases of investments,-,-,-481,-1614
Net cash used for investing activites,-241,-113,-1305,-835
Debt repayment,-,-2043,-,-18234
Common stock issued,-,-,1065,-
Other financing activites,3284,886,-474,1369
Net cash used privided by (used for) financing activities,1194,-1204,2552,-17684
Net change in cash,2076,63,-1724,3115
Cash at beginning of period,497,923,1374,1109
Cash at end of period,2573,926,923,1374
Capital Expenditure,-,-233,-1081,-1025
Free Cash Flow,890,1147,-4052,20609
