Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-531.569,-3.274,-3429,-2905
Other investing activites,28.235,17.161,113.436,-,-642.936
Net cash used for investing activites,-1995,-514.408,110.162,-3429,-3548
Debt repayment,-,-,-341.153,-,-
Dividends Paid,-,-,-,0.071,-0.291
Other financing activites,369.37,-4.611,3385,283.807,113.525
Net cash used privided by (used for) financing activities,1994,2002,3043,283.807,113.234
Net change in cash,-3019,827.741,51.566,-210.968,-3646
Cash at beginning of period,3148,498.822,354.951,562.594,4242
Cash at end of period,128.089,1375,498.822,354.951,562.594
Capital Expenditure,-,-531.569,-3.274,-3429,-2905
Free Cash Flow,-3037,-1192,-3105,-494.775,-3116
