Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-1,-27
Sales/Maturities of investments,-,-,-,274,-
Other investing activites,-,-,979,59,351
Net cash used for investing activites,-,-,988,2201,676
Debt repayment,-,-1102,-,-,-65
Common stock issued,-,4000,4000,-,-
Common stock repurchased,-,-,-12,-,-10
Net cash used privided by (used for) financing activities,-,2898,3988,1500,4271
Net change in cash,-2333,1281,2588,-679,-1479
Cash at beginning of period,5869,3954,1366,2045,3524
Cash at end of period,3536,5235,3954,1366,2045
Capital Expenditure,-,-,-,-1,-27
Free Cash Flow,-2333,-1617,-2388,-4381,-6453
