Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-195.748,-195.748,-734.167,-595.489,-2954
Acquisitions net,-,-,-,281.492,690.471
Purchases of investments,-,-,-,-19.197,-60.798
Net cash used for investing activites,-195.748,-195.748,-734.167,-329.031,-2324
Debt repayment,-2290,-2290,-2056,-1591,-2829
Common stock issued,188.083,188.083,2213,-,-
Common stock repurchased,-,-,-33.874,-,-
Net cash used privided by (used for) financing activities,1015,1015,1331,1640,121.221
Net change in cash,2506,2506,863.85,-1051,-2156
Cash at beginning of period,4194,4194,3173,4362,6658
Cash at end of period,6648,6648,4194,3173,4362
Capital Expenditure,-195.748,-195.748,-734.167,-595.489,-2954
Free Cash Flow,1491,1491,-467.284,-2957,-2907
