Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-18928,-14310,-15500,-9849,-9628
Acquisitions net,-,-,-50774,-10791,-5775
Other investing activites,-52,-,14,-196,-
Net cash used for investing activites,-61306,-13534,-65249,-20183,-15242
Debt repayment,-,-7500,-6000,-,-5000
Common stock issued,250,225,250,3172,122
Common stock repurchased,-,-711,-,-,-
Dividends Paid,-22034,-19780,-23013,-22507,-23671
Other financing activites,-6227,-1628,-,-22,-125
Net cash used privided by (used for) financing activities,11606,-27894,4237,-13357,-28674
Net change in cash,-10316,-3138,-6045,5166,3772
Cash at beginning of period,28690,21713,27337,22215,18371
Cash at end of period,18374,18831,21713,27337,22215
Capital Expenditure,-18928,-14310,-15500,-9849,-9628
Free Cash Flow,20456,23980,39467,28857,38060
