Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,80300,80300,138300,38000,56900
Depreciation & amortization,59700,59700,53900,63200,59400
Change in working capital,45000,45000,-20200,-500,-20900
Inventory,24900,24900,-20700,-19400,-
Other working capital,118700,118700,100700,86500,52600
Other non-cash items,13900,13900,-4000,9000,11700
Net cash provided by operating activites,184100,184100,141900,125500,83900
Investments in property plant and equipment,-65400,-65400,-41200,-39000,-31300
Acquisitions net,-32700,-32700,-1000,0,-7700
Sales/Maturities of investments,-,-,-,-,0
Other investing activites,1800,1800,-,0,0
Net cash used for investing activites,-85700,-85700,-38400,-35500,-35400
Net change in cash,21400,21400,73300,41800,23500
Cash at beginning of period,213400,213400,140000,101000,67000
Cash at end of period,222100,222100,213400,140000,101000
Operating Cash Flow,184100,184100,141900,125500,83900
Capital Expenditure,-65400,-65400,-41200,-39000,-31300
Free Cash Flow,118700,118700,100700,86500,52600
