Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-16.059,-,-
Purchases of investments,-,-,-1.059,-1066,-332.557
Sales/Maturities of investments,-,-,289.355,1807,-
Other investing activites,-,-5,-15,-,-
Net cash used for investing activites,-,-5,273.296,1248,447.897
Common stock issued,-,-,-,-,200
Common stock repurchased,-,-,-,-,-161.388
Net cash used privided by (used for) financing activities,-,-,-,-,38.612
Net change in cash,-3047,-427.62,500.462,-548.1,6110
Cash at beginning of period,7372,7412,6926,7500,1358
Cash at end of period,4325,6984,7412,6926,7500
Capital Expenditure,-,-,-16.059,-,-
Free Cash Flow,-2019,-422.62,211.107,-1796,5623
