Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2280,-2351,-5945,-16210,-103622
Sales/Maturities of investments,-,-,1,-,-
Other investing activites,43114,11692,34387,331,-7624
Net cash used for investing activites,44576,13176,33716,-15797,-110907
Debt repayment,-60166,-44025,-56739,-158851,-328831
Common stock issued,-,-,-,23617,101800
Other financing activites,1641,2489,-1771,15198,96252
Net cash used privided by (used for) financing activities,-58871,-33323,-56989,37921,144651
Net change in cash,-10121,1295,-23608,2065,13748
Cash at beginning of period,13444,8297,33027,31930,18182
Cash at end of period,3323,7424,8297,33027,31930
Capital Expenditure,-2280,-2351,-5945,-16210,-103622
Free Cash Flow,1894,19091,-6280,-36269,-123618
