Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-89.664,-43.693,-104.378
Purchases of investments,-,-150,-
Net cash used for investing activites,-287.064,-191.093,-104.378
Debt repayment,163.208,-100,-
Common stock issued,-61.649,-84.649,4823
Other financing activites,-,133,84.07
Net cash used privided by (used for) financing activities,343.044,-51.649,5393
Net change in cash,-1852,-1845,4790
Cash at beginning of period,4144,5126,335.878
Cash at end of period,2292,3280,5126
Capital Expenditure,-89.664,-43.693,-104.378
Free Cash Flow,-1998,-1646,-603.805
