Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-53.437,-76.748,-43.105,-151.648,-
Acquisitions net,-,-,79.633,3112,-
Purchases of investments,-,-,-158.392,-151.648,-
Sales/Maturities of investments,-,-,-,142.007,-
Other investing activites,-,-91.628,-158.392,7.934,-400
Net cash used for investing activites,50.953,-168.376,-121.864,2958,-400
Debt repayment,-401.96,-622.018,-120.194,-806,-400
Common stock issued,-,2189,940,1673,-
Other financing activites,-74.495,-42.774,-750,-,-
Net cash used privided by (used for) financing activities,2114,2576,410.019,867.475,1100
Net change in cash,5181,8356,152.611,1325,178.593
Cash at beginning of period,2465,1712,1559,234.67,3.884
Cash at end of period,7646,10068,1712,1559,182.477
Capital Expenditure,-53.437,-76.748,-43.105,-151.648,-
Free Cash Flow,2962,5872,-178.649,-2653,-521.407
