Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-248.344,-133.709,-200.678,-174.097,-146.404
Other investing activites,-,-,-,-88.115,-
Net cash used for investing activites,-832.288,-133.709,-200.678,-88.115,3624
Common stock issued,4184,9267,7500,8000,550
Common stock repurchased,-,-522.794,-450,-540,-51.73
Net cash used privided by (used for) financing activities,3846,8744,7050,7460,498.27
Net change in cash,-5389,3584,382.323,1801,2243
Cash at beginning of period,11113,4452,4070,2271,81.076
Cash at end of period,5724,8036,4452,4070,2271
Capital Expenditure,-248.344,-133.709,-200.678,-174.097,-146.404
Free Cash Flow,-8651,-5160,-6668,-5571,-2025
