Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-852.474,-1437,-1441,-1674,-917.169
Acquisitions net,-,-903.96,-23071,-,-
Purchases of investments,-,-12,-78.311,-,-
Sales/Maturities of investments,-,-,-,1883,856.857
Other investing activites,-,-263,138.318,-747.873,-
Net cash used for investing activites,-1114,-2616,-24452,-538.771,-60.312
Debt repayment,-,-,-5359,-,-
Common stock issued,-,-,35151,210.428,-
Common stock repurchased,-,-1052,-1910,-507.668,-207.403
Dividends Paid,-,-,-267.766,-1079,-1078
Net cash used privided by (used for) financing activities,-182.906,-1052,27614,-1376,-1286
Net change in cash,1124,-3991,3308,-291.868,-85.921
Cash at beginning of period,1075,4932,1624,1916,2002
Cash at end of period,2199,940.896,4932,1624,1916
Capital Expenditure,-852.474,-1437,-1441,-1674,-917.169
Free Cash Flow,1568,-1760,-1295,-51.255,342.976
