Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-92000,-72000,-86000,-75000
Acquisitions net,-,-,-,-778000
Purchases of investments,-3000,-30000,-1000,-
Sales/Maturities of investments,-,-,-,18000
Net cash used for investing activites,-54000,-83000,-68000,-812000
Debt repayment,-,-150000,-504000,-147000
Common stock repurchased,-,-1000,-2000,-3000
Dividends Paid,-187000,-152000,-134000,-121000
Net cash used privided by (used for) financing activities,-101000,-147000,-264000,490000
Net change in cash,-28000,39000,63000,-67000
Cash at beginning of period,61000,72000,9000,76000
Cash at end of period,33000,111000,72000,9000
Capital Expenditure,-92000,-72000,-86000,-75000
Free Cash Flow,35000,197000,309000,180000
