Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2636,-2633,-1363,-976.359,-
Acquisitions net,-,-,-,72.303,-
Other investing activites,-,490,-,-,-
Net cash used for investing activites,-2532,-2143,-1363,-904.056,-
Common stock issued,-,3375,4088,3700,134.092
Common stock repurchased,-,-202.416,-190.672,-276.239,-17.716
Other financing activites,-,-,-0.001,-,-
Net cash used privided by (used for) financing activities,-,3173,3897,3424,176.376
Net change in cash,-947.332,23.724,1627,1351,-349.338
Cash at beginning of period,2297,2978,1351,-,421.641
Cash at end of period,1349,3011,2978,1351,72.303
Capital Expenditure,-2636,-2633,-1363,-976.359,-
Free Cash Flow,-3320,-3639,-2270,-2145,-525.714
