Breakdown,ttm,3/31/2019
Total Revenue,39369688,29701948
Cost of Revenue,29410367,22655288
Gross Profit,9959320,7046659
Total Operating Expenses,5830279,4529833
Operating Income or Loss,4129041,2516826
Interest Expense,25698,22600
Income Before Tax,4222012,6624911
Income Tax Expense,1360872,690004
Income from Continuing Operations,2861140,5934907
Net Income,2861138,5934906
Net Income available to common shareholders,2861138,5934906
Basic EPS,-,712.28
Diluted EPS,-,712.28
Basic Average Shares,-,8332
Diluted Average Shares,-,8332
