Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,148944000,142944000,144378000,145518000
Selling General and Administrative,69492000,71325000,72585000,77867000
Total Operating Expenses,104071000,102031000,95573000,100745000
Interest Expense,10503000,10586000,8032000,7630000
Income Before Tax,37181000,33317000,48317000,46799000
Income Tax Expense,11562000,9991000,14877000,14993000
Income from Continuing Operations,25619000,23326000,33440000,31806000
Net Income,25702000,23148000,32916000,31586000
Net Income available to common shareholders,25702000,23148000,32916000,31586000
Basic EPS,-,94.65,133.65,128.70
Diluted EPS,-,83.27,111.22,106.64
Basic Average Shares,-,244575,246290,245428
Diluted Average Shares,-,277987,295954,296193
