Breakdown,ttm,2/28/2019,2/28/2018
Total Revenue,6468296,6468296,5254794
Cost of Revenue,5697388,5697388,4580331
Gross Profit,770907,770907,674462
Total Operating Expenses,644132,644132,513860
Operating Income or Loss,126775,126775,160602
Interest Expense,32113,32113,33480
Income Before Tax,138932,138932,90044
Income Tax Expense,60349,60349,34064
Income from Continuing Operations,78583,78583,55980
Net Income,78583,78583,55980
Net Income available to common shareholders,78583,78583,55980
Basic EPS,-,-,19.47
Diluted EPS,-,-,19.47
Basic Average Shares,-,-,2875
Diluted Average Shares,-,-,2875
