Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,77587,77587,73043,60501,49325
Interest Expense,10140,10140,7399,5433,3934
Income Before Tax,29366,29366,26720,16422,14637
Income Tax Expense,5645,5645,4972,6634,3768
Income from Continuing Operations,23721,23721,21748,9788,10869
Net Income,23721,23721,21748,9788,10869
Net Income available to common shareholders,23721,23721,21748,9788,10869
Basic EPS,-,-,3.09,1.50,1.80
Diluted EPS,-,-,3.09,1.50,1.80
Basic Average Shares,-,-,7038,6544,6052
Diluted Average Shares,-,-,7038,6544,6052
