Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,40267,28082,1974,75821
Selling General and Administrative,776,805,714,750
Total Operating Expenses,776,805,714,750
Interest Expense,287,223,-,0
Income Before Tax,39491,27277,1260,75071
Income Tax Expense,2536,2525,6,755
Income from Continuing Operations,36955,24752,1254,74316
Net Income,36955,24752,1254,74316
Net Income available to common shareholders,36955,24752,1254,74316
Basic EPS,-,0.42,0.02,1.26
Diluted EPS,-,0.42,0.02,1.26
Basic Average Shares,-,59070,59070,59070
Diluted Average Shares,-,59070,59070,59070
