Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,660644,660644,503760,346503,331267
Interest Expense,161460,161460,102097,50037,29770
Income Before Tax,231255,231255,179429,106310,104254
Income Tax Expense,37557,37557,30016,33387,26778
Income from Continuing Operations,193698,193698,149413,72923,77476
Net Income,193528,193528,146248,72923,77476
Net Income available to common shareholders,193528,193528,146248,72923,77476
Basic EPS,-,2.41,2.22,1.67,1.77
Diluted EPS,-,2.41,2.22,1.67,1.77
Basic Average Shares,-,80201,65859,43699,43784
Diluted Average Shares,-,80264,65909,43780,43890
