Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,1962172,1962172,1814023,3177738,2493209
Interest Expense,59077,59077,41733,102504,57637
Income Before Tax,138114,138114,179817,231997,188260
Income Tax Expense,53171,53171,76120,150268,60252
Income from Continuing Operations,84943,84943,103697,81729,128008
Net Income,55707,55707,197520,51475,102477
Net Income available to common shareholders,55707,55707,197520,51475,102477
Basic EPS,-,-,0.60,0.18,0.37
Diluted EPS,-,-,0.56,0.17,0.36
Basic Average Shares,-,-,322141,287378,277073
Diluted Average Shares,-,-,486700,454256,433226
