Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,45164000,45164000,43713000,52394000,47405000
Interest Expense,21502000,21502000,19984000,21745000,24067000
Income Before Tax,12543000,12543000,14201000,12091000,10768000
Income Tax Expense,4427000,4427000,4886000,3884000,3282000
Income from Continuing Operations,8116000,8116000,9315000,8207000,7486000
Net Income,6515000,6515000,7810000,6619000,6204000
Net Income available to common shareholders,5920000,5920000,7250000,6224000,5870000
Basic EPS,-,-,0.45,0.40,0.41
Diluted EPS,-,-,0.45,0.40,0.41
Basic Average Shares,-,-,17394209,15394459,14415534
Diluted Average Shares,-,-,17433036,15394459,14415534
