Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,5207563,5207563,5184493,6396759,11029683
Selling General and Administrative,659028,659028,1059603,2880960,1125373
Total Operating Expenses,1557919,1557919,2488678,4769594,6158121
Interest Expense,7314632,7314632,6946849,5086479,4972016
Income Before Tax,4903555,4903555,3146857,1727067,5515591
Income Tax Expense,511252,511252,152859,-648192,800633
Income from Continuing Operations,3752080,3752080,2367722,2375259,4714958
Net Income,3752080,3752080,2360784,2383120,4734682
Net Income available to common shareholders,3752080,3752080,2360784,2383120,4734682
Basic EPS,-,-,0.88,0.87,1.82
Diluted EPS,-,-,0.88,0.87,1.82
Basic Average Shares,-,-,2670784,2735819,2600092
Diluted Average Shares,-,-,2670784,2735819,2600092
