Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,112466,112466,107279,106731,106098
Interest Expense,14556,14556,11027,9601,8968
Income Before Tax,23932,23932,22541,17966,17918
Income Tax Expense,5082,5082,4521,11394,4459
Income from Continuing Operations,18850,18850,18020,6572,13459
Net Income,18859,18859,18020,6572,13459
Net Income available to common shareholders,18859,18859,18020,6572,13459
Basic EPS,-,-,5.15,1.89,3.90
Diluted EPS,-,-,5.15,1.88,3.89
Basic Average Shares,-,-,3501,3487,3454
Diluted Average Shares,-,-,3501,3487,3456
