Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,222371,225870,215187,212294,206037
Interest Expense,124783,123564,123119,117804,108931
Income Before Tax,117187,120654,123906,127920,121939
Income Tax Expense,24816,26411,24979,43783,38445
Income from Continuing Operations,92371,94243,98927,84137,83494
Net Income,92371,94243,98927,84137,83494
Net Income available to common shareholders,92306,94188,98887,84093,83428
Basic EPS,-,0.68,0.73,0.63,0.63
Diluted EPS,-,0.68,0.73,0.63,0.63
Basic Average Shares,-,137677,134698,134082,133045
Diluted Average Shares,-,137735,134759,134244,133176
