Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,591278,591278,565877,463163,416980
Interest Expense,36547,36547,18230,6757,4350
Income Before Tax,241611,241611,211836,177983,149781
Income Tax Expense,47160,47160,38954,65155,44915
Income from Continuing Operations,194451,194451,172882,112828,104866
Net Income,194451,194451,172882,112828,104866
Net Income available to common shareholders,192921,192921,172882,111324,103310
Basic EPS,-,-,2.36,1.86,1.81
Diluted EPS,-,-,2.36,1.86,1.81
Basic Average Shares,-,-,72385,59882,57184
Diluted Average Shares,-,-,72390,59888,57193
